Emissions by sectors,Regions ,GLOBAL,<30°N,30°N-60°N,60°N-90°N,Central America,Northern South America,Brazil,Southwest South America,Northern Africa,Equatorial Africa,Southern Africa,South Asia,Southeast Asia,Oceania,USA,Europe,Central Asia,Middle East,China,Korean Japan,Canada,Russia
,,,,,,Central_America,Northern_South_America,Brazil,Southwest_South_America,Northern_Africa,Equatorial_Africa,Southern_Africa,South_Asia,Southeast_Asia,Oceania,USA,Europe,Central_Asia,Middle_East,,,,
Wetlands - Posterior,CTE-CH4/GOSAT,171.04,126.55,35.85,8.64,2.58,8.19,29.09,15.82,6.79,26.89,6.45,5.96,17.97,3.39,17.15,4.57,0.45,0.69,4.75,0.91,20.03,-0.68
Wetlands - Posterior,CTE-CH4/SURF,161.31,118.92,26.73,15.67,2.32,6.02,26.39,15.95,6.05,18.71,4.33,10.47,21.95,3.48,9.51,4.61,0.47,0.66,5.01,0.93,9.16,15.25
Wetlands - Posterior,GELCA/SURF,172.06,127.58,30.73,13.75,2.66,9.40,35.13,11.70,8.94,15.50,7.08,15.23,16.13,1.56,15.47,2.04,0.08,0.20,5.00,0.34,13.45,11.93
Wetlands - Posterior,MIROC4-ACTM-Cao/SURF,179.82,126.33,41.24,12.26,2.60,8.74,30.52,11.63,11.31,15.72,8.46,15.07,15.73,1.90,21.20,2.39,0.11,0.28,5.71,0.33,17.79,10.07
Wetlands - Posterior,NICAM-TM/4DVar,181.91,135.39,33.00,13.52,2.05,10.61,34.24,9.49,10.79,17.70,8.60,17.46,16.31,1.66,18.21,1.77,0.10,0.24,8.12,0.28,10.95,13.03
Wetlands - Posterior,NIES-TM-FLEXPART/GOSAT,191.81,130.29,48.35,13.17,2.68,9.98,32.10,11.98,10.64,17.01,7.72,16.26,15.12,1.68,24.76,1.77,0.15,0.21,5.98,0.29,22.38,10.90
Wetlands - Posterior,NIES-TM-FLEXPART/SURF,181.70,129.83,36.67,15.20,2.88,10.24,31.66,11.29,9.49,15.33,7.61,18.10,16.06,1.73,24.48,1.85,0.16,0.22,5.58,0.27,11.16,13.37
Wetlands - Posterior,PYVARLMDZ/GOSAT1,168.35,122.61,33.82,11.92,2.94,7.22,29.87,14.28,4.36,22.74,4.43,6.73,20.24,3.79,16.43,3.62,0.65,0.63,4.26,0.89,14.10,11.16
Wetlands - Posterior,PYVARLMDZ/GOSAT2,187.02,139.18,35.14,12.70,2.44,7.08,35.80,19.56,5.33,24.41,4.63,10.08,23.37,3.17,13.48,3.75,0.48,0.64,4.33,0.90,17.07,10.44
Wetlands - Posterior,PYVARLMDZ/GOSAT3,187.38,156.28,21.13,9.97,1.94,14.21,40.86,11.61,6.11,26.06,2.94,7.79,32.67,1.23,7.21,1.38,0.19,0.88,2.34,0.10,10.87,9.21
Wetlands - Posterior,PYVARLMDZ/GOSAT4,185.38,156.34,19.50,9.55,1.84,14.17,42.53,12.28,5.85,26.09,2.87,7.59,31.72,1.23,6.70,1.32,0.16,0.72,2.04,0.09,10.30,8.63
Wetlands - Posterior,PYVARLMDZ/GOSAT5,187.75,156.02,21.16,10.57,1.78,13.50,41.19,12.14,5.43,24.19,2.73,9.36,33.54,1.26,6.81,1.40,0.18,0.69,2.95,0.10,11.19,9.72
Wetlands - Posterior,PYVARLMDZ/GOSAT6,189.31,162.28,18.18,8.86,1.76,14.24,45.05,13.08,5.57,25.46,2.85,8.49,33.77,1.28,6.28,1.27,0.14,0.58,2.28,0.09,9.80,7.67
Wetlands - Posterior,PYVARLMDZ/SURF1,174.43,136.51,24.25,13.67,1.82,11.76,32.06,9.85,4.94,20.99,2.43,10.76,30.54,1.18,7.82,1.69,0.23,0.85,3.61,0.09,11.46,13.85
Wetlands - Posterior,PYVARLMDZ/SURF2,171.15,135.14,23.07,12.93,1.79,11.82,32.88,10.18,4.93,20.83,2.46,9.71,29.76,1.19,7.51,1.65,0.20,0.80,3.01,0.09,11.36,12.75
