Year,Reported sector,Energy consumption (TW)
2020,Passenger light-duty vehicles,1.374
2019,Passenger light-duty vehicles,1.57
2018,Passenger light-duty vehicles,1.506
2017,Passenger light-duty vehicles,1.484
2016,Passenger light-duty vehicles,1.469
2015,Passenger light-duty vehicles,1.424
2014,Passenger light-duty vehicles,1.389
2013,Passenger light-duty vehicles,1.354
2012,Passenger light-duty vehicles,1.312
2011,Passenger light-duty vehicles,1.286
2010,Passenger light-duty vehicles,1.278
2020,Passenger air transport,0.213
2019,Passenger air transport,0.427
2018,Passenger air transport,0.423
2017,Passenger air transport,0.411
2016,Passenger air transport,0.389
2015,Passenger air transport,0.371
2014,Passenger air transport,0.347
2013,Passenger air transport,0.336
2012,Passenger air transport,0.326
2011,Passenger air transport,0.319
2010,Passenger air transport,0.309
2020,Total passenger transport,1.903
2019,Total passenger transport,2.377
2018,Total passenger transport,2.305
2017,Total passenger transport,2.272
2016,Total passenger transport,2.238
2015,Total passenger transport,2.171
2014,Total passenger transport,2.108
2013,Total passenger transport,2.057
2012,Total passenger transport,1.989
2011,Total passenger transport,1.949
2010,Total passenger transport,1.919
