year,kg
1980,3679002000000
1981,3709922000000
1982,3790561000000
1983,3905926000000
1984,4090455000000
1985,4245539000000
1986,4295739000000
1987,4461965000000
1988,4594858000000
1989,4606482000000
1990,4521323000000
1991,4414418000000
1992,4309213000000
1993,4313809000000
1994,4340724000000
1995,4464768000000
1996,4557500000000
1997,4491567000000
1998,4466940000000
1999,4482005000000
2000,4713730000000
2001,4777469000000
2002,4896983000000
2003,5286120000000
2004,5731092000000
2005,6097234000000
2006,6434361000000
2007,6745337000000
2008,6884379000000
2009,6943349000000
2010,7473408000000
2011,7900006000000
2012,8126313000000
2013,8187151000000
2014,8083150000000
2015,7780995000000
2016,7354512000000
2017,7575293000000
2018,7805526000000
2019,7837782000000
