Country Group,year,Watts,Percentage,Per Capita
Africa,1980,20876621496.009197,4.041275851695684,44.52178571491465
Asia,1980,87031100515.43643,16.84739482041037,33.5179888827195
Central America,1980,7778260781.186799,1.505708070111383,85.19733157920632
Europe,1980,137327792887.43782,26.583779050109204,371.4634072704394
Northern America,1980,184563825930.54822,35.72768385786332,657.0282190566566
Oceania,1980,11423577816.947802,2.2113649557914714,500.28807116351936
South America,1980,67583737369.180984,13.082793394018529,280.5689837271557
Africa,1981,18377708897.1824,3.475794120342292,38.116639213974246
Asia,1981,93717841799.97621,17.724947398065936,35.393324284630594
Central America,1981,10603219078.983,2.0053972308311363,113.37067455369038
Europe,1981,140838844627.5886,26.636988909288167,379.3158701190384
Northern America,1981,184646660361.21255,34.9224040937301,650.3108459695585
Oceania,1981,11882304373.297401,2.2473118878902603,511.88146182300443
South America,1981,68667524807.265594,12.987156359852063,278.85628985232546
Africa,1982,18095647203.477795,3.3012693031666664,36.490075142220086
Asia,1982,95008873758.5448,17.332890884789176,35.18861512344858
Central America,1982,10008611100.0286,1.8259153828721542,104.50565515687003
Europe,1982,139677197894.8818,25.481931681011556,374.8053160065093
Northern America,1982,198824974173.60297,36.27252325167305,693.149123993275
Oceania,1982,11289977985.3942,2.0596808358115077,477.8624390668839
South America,1982,75236827530.19778,13.72578866067588,298.89450267640956
Africa,1983,17545530250.021805,3.027252837063679,34.39167146904903
Asia,1983,100957552026.78598,17.418911337587648,36.671631657214355
Central America,1983,9448575563.2528,1.6302287119554022,96.3943640405305
Europe,1983,147242446800.42743,25.404767394376005,393.82379540018945
Northern America,1983,211044320247.186,36.41295008531735,728.6385270340144
Oceania,1983,11361277705.7442,1.960240567100542,473.40629633502226
South America,1983,81986185813.58717,14.14564906659936,318.7060910859492
Africa,1984,15670759558.756596,2.6664967802003248,29.85634508748151
Asia,1984,101025461049.32375,17.190236733339905,35.986212222868694
Central America,1984,10659118059.7374,1.8137285483512393,106.30946052697752
Europe,1984,146956328944.854,25.005716952791097,448.69284395459835
Northern America,1984,212492370034.3476,36.1571638176983,726.8150335863799
Oceania,1984,11614787822.544199,1.9763428961691911,476.9149964089759
South America,1984,89272098259.1838,15.190314271449925,339.71405729066163
Africa,1985,16265937935.4738,2.7375465028194483,30.123446107741458
Asia,1985,106333075609.707,17.895785685654054,37.136378596998306
Central America,1985,11737518407.84,1.9754165174260105,114.51460914203204
Europe,1985,146397402514.83917,24.63858517511768,445.71932128542124
Northern America,1985,204949683529.19717,34.49289500703875,694.4410191109555
Oceania,1985,11970842781.5898,2.014684853867176,484.1203049941279
South America,1985,96524959323.30258,16.245086258076856,359.7663775239661
Africa,1986,17214984746.479195,2.8518141408304367,30.99219162873283
Asia,1986,109316636174.32617,18.10926547197311,37.4138589463445
Central America,1986,10209486178.828001,1.6912914814722275,97.49318352585945
Europe,1986,139045514061.3454,23.034116443250454,422.1264995350399
Northern America,1986,210700243641.15918,34.90435473172101,706.850922867655
Oceania,1986,13085875341.569998,2.1677907296354713,521.1212353777228
South America,1986,104077564411.7728,17.241367001117315,380.1364710609328
Africa,1987,16859753695.313196,2.8013666641568706,29.50976268503066
Asia,1987,109352856432.26399,18.169746259391356,36.66516224363607
Central America,1987,9606607432.313,1.5962053955749287,89.83763134217688
Europe,1987,146949135595.2898,24.416632486021943,444.8030402225687
Northern America,1987,197777945702.4544,32.86219680364026,657.0019224015281
Oceania,1987,12754917884.0876,2.1193193216383777,499.9771817681628
South America,1987,108539088957.336,18.034533069576366,388.6333945279214
Africa,1988,17643131644.9898,2.8489243163252995,30.024678568311547
Asia,1988,125187098327.59198,20.214584105138847,41.12969091978095
Central America,1988,10848933759.6914,1.7518313537588046,99.39927399048422
Europe,1988,157484445651.735,25.42979759421827,475.2253262834161
Northern America,1988,183357909993.6952,29.607714712028717,602.724750566853
Oceania,1988,13091832829.3148,2.1140034344918783,503.3384401889581
South America,1988,111677639269.6138,18.033144484038218,392.1623437168204
Africa,1989,18239577572.291,2.916066272018116,30.190228620620537
Asia,1989,130159223937.15495,20.809304459539433,41.93361779069309
Central America,1989,12454856972.090199,1.9912296869362196,111.84519273056448
Europe,1989,140291104331.4776,22.429146507575133,378.8405726215043
Northern America,1989,195684680979.2722,31.285236507953076,636.4764383778572
Oceania,1989,13125169409.674,2.098396395332024,496.37581913902125
South America,1989,115531088111.26758,18.470620170645997,398.0454101392184
Africa,1990,19095205905.2556,2.9313063101409687,30.680155247231024
Asia,1990,137821947482.6102,21.15705619181092,43.59074476199233
Central America,1990,12102224399.621399,1.8578132608451359,106.55336285423714
Europe,1990,142890438625.32178,21.935120599350768,384.71804829442397
Northern America,1990,204441585877.6008,31.383841248514475,657.2353056377673
Oceania,1990,13387172115.386799,2.0550656689161935,497.8309514479491
South America,1990,121684507487.5894,18.679796720421496,411.51616679040575
Africa,1991,19797207107.439392,2.9423357503691108,30.958773839960266
Asia,1991,140316296899.3346,20.854338416815114,43.6189165670878
Central America,1991,11397181076.036,1.6938921309182788,98.40935531141312
Europe,1991,150368860315.8634,22.348388388752344,324.9939706231567
Northern America,1991,207783578058.6106,30.881580757505965,659.2704239545727
Oceania,1991,13895745098.452198,2.06523816007502,508.62902995798675
South America,1991,129280969826.26599,19.21422639556418,429.3337201988111
Africa,1992,19312559141.647,2.5567523336403526,29.403212368794705
Asia,1992,156386239825.7574,20.703671672466196,46.85005698767093
Central America,1992,12626071367.224,1.6715411559954751,106.94803712771689
Europe,1992,227259429404.24136,30.086436096294424,325.067770641471
