year,Watts
1980,1800898445316.2073
1981,1801908144422.6572
1982,1807251884174.6843
1983,1843845309004.4138
1984,2034185901655.2483
1985,2118731177031.6377
1986,2147240798011.9072
1987,2258827490527.119
1988,2374108522596.928
1989,2481753354617.252
1990,2511625877674.203
1991,2565342643343.1885
1992,2578067710411.023
1993,2644925680004.5703
1994,2641270634518.077
1995,2718953232588.8677
1996,2781608669909.9272
1997,2798352506104.3335
1998,2820888097804.682
1999,2892621257076.881
2000,2995796293784.081
2001,3006712439413.4893
2002,3144753926657.248
2003,3235926241685.671
2004,3336481441468.3306
2005,3430499407557.8335
2006,3554377474708.564
2007,3668345894771.112
2008,3773722159822.4863
2009,3649234464218.381
2010,3992748309474.6494
2011,4112059011606.053
2012,4206012332615.772
2013,4267931956822.82
2014,4284329339753.854
2015,4348072430542.28
2016,4436588593321.931
2017,4570167953933.599
2018,4796848746496.244
