Country Group,year,Watts,Percentage,Per Capita
Africa,1980,102706771832.70598,2.325399541704488,219.0339508660675
Asia,1980,894714110818.8842,20.257357388699806,344.57817311319144
Europe,1980,858534572943.5951,19.438211004357054,2322.284302541007
North America,1980,1411038450904.3257,31.947534797461664,3791.0351605687356
Oceania,1980,51569313158.3374,1.1675886121680819,2258.4441253541827
South America,1980,181231372067.68298,4.103286881950889,752.3688961258173
Africa,1981,109698168900.11024,2.586569289305225,227.52158877868487
Asia,1981,891303765972.6322,21.0160203367313,336.608298049709
Europe,1981,788153509879.3492,18.58384405457472,2122.703684326427
North America,1981,1334886990561.4783,31.47525368106599,3536.4710993169615
Oceania,1981,50861703044.8194,1.1992663179025926,2191.0870221349846
South America,1981,177846061345.46503,4.193426062735407,722.2263066980106
Africa,1982,115374482236.61441,2.784101737156266,232.65393489212553
Asia,1982,886054078473.9377,21.381371784053112,328.16951419947924
Europe,1982,754370149628.0537,18.203706775741253,2024.252681028196
North America,1982,1269961116634.3574,30.645432875629076,3319.170539066415
Oceania,1982,52253156698.405396,1.260920972434589,2211.680212410285
South America,1982,174770001276.9784,4.217375061845536,694.3114739051331
Africa,1983,118189680394.9138,2.891585792921735,231.66815714610442
Asia,1983,901075693689.8634,22.04539064252206,327.3050432670594
Europe,1983,733052040263.6373,17.93458496559099,1960.6665265062688
North America,1983,1245521727334.3704,30.47248219558087,3212.9064167609163
Oceania,1983,50445376055.5046,1.2341782483318116,2101.9782514065005
South America,1983,165621740135.83978,4.052041338766318,643.8237963351945
Africa,1984,122773428505.53922,2.9727883524181435,233.91117930760112
Asia,1984,920991131578.0254,22.300523345831564,328.06563783129263
Europe,1984,719393897522.156,17.419125827035682,2196.481744749668
North America,1984,1280534294764.4995,31.00636255487591,3261.4607661349464
Oceania,1984,52294637291.2668,1.2662421382685052,2147.2709736087213
South America,1984,167410792718.86197,4.053620239507013,637.0613073712525
Africa,1985,127156650113.77574,3.0770161930188182,235.48574402154122
Asia,1985,927671376665.822,22.448372501530304,323.9853193366642
Europe,1985,705613436149.3185,17.074875494914316,2148.3000138507864
North America,1985,1281309592079.2034,31.005931341933923,3222.3908137002854
Oceania,1985,51511671295.52999,1.2465116575813036,2083.2155657997328
South America,1985,166586282752.7346,4.031159118349907,620.8978891189851
Africa,1986,126596804709.5876,2.9775953244593913,227.9126289639752
Asia,1986,957731148632.7946,22.52612770756733,327.7855901669556
Europe,1986,723254032693.1404,17.01115467395678,2195.717676736119
North America,1986,1328722892071.4858,31.251966272056986,3298.6916484521857
Oceania,1986,52327561917.686195,1.2307601606840688,2083.8501818998125
South America,1986,182348432708.5976,4.288890560082975,666.0156788363256
Africa,1987,127856147903.55623,2.9525859099224516,223.7876454568238
Asia,1987,994020741587.5396,22.95495120028094,333.2874234192697
Europe,1987,731605796736.0579,16.89499490231702,2214.5110368589603
North America,1987,1360757951491.0352,31.42402473612783,3335.485365108282
Oceania,1987,53815761369.59599,1.2427690131214921,2109.512028912861
South America,1987,187079755395.96518,4.320238477937922,669.8548982253376
Africa,1988,132884045738.81519,2.972402603075512,226.13903474997522
Asia,1988,1061882452799.7916,23.752604380108426,348.8769822150922
Europe,1988,747515236069.7817,16.720714824559316,2255.7032251214787
North America,1988,1414584455351.8303,31.64198150335023,3422.1609622407354
Oceania,1988,56392438196.7512,1.261408238723096,2168.1060437043907
South America,1988,191464371309.84418,4.282750367159852,672.3379638233974
Africa,1989,137637201984.99222,3.0421189351721187,227.81769907555548
Asia,1989,1118761123400.5652,24.72735821672976,360.43316738287535
Europe,1989,754907242499.2592,16.68529716955432,2038.5433088388033
North America,1989,1428374169843.9302,31.5705641056753,3410.5704042041466
Oceania,1989,58651023204.85159,1.2963311204056112,2218.100870011784
