region,year,area_km2
Africa,1961,10416025.3
Africa,1962,10421960.2
Africa,1963,10450879.3
Africa,1964,10461830.9
Africa,1965,10490001.5
Africa,1966,10475630.1
Africa,1967,10502288.9
Africa,1968,10520899.7
Africa,1969,10590140.5
Africa,1970,10570264.9
Africa,1971,10597175.8
Africa,1972,10557570.2
Africa,1973,10604240.2
Africa,1974,10564600.2
Africa,1975,10564990.2
Africa,1976,10581130.2
Africa,1977,10542710.2
Africa,1978,10547210.2
Africa,1979,10541900.2
Africa,1980,10580720.2
Africa,1981,10514870.2
Africa,1982,10535652.6
Africa,1983,10556647.6
Africa,1984,10604802.8
Africa,1985,10670420.2
Africa,1986,10764660.2
Africa,1987,10793430.2
Africa,1988,10846000.2
Africa,1989,10888110.2
Africa,1990,10751893.9
Africa,1991,10671667.09
Africa,1992,10728348.28
Africa,1993,10611753.92
Africa,1994,10668534.66
Africa,1995,10746282.05
Africa,1996,10760044.44
Africa,1997,10802565.03
Africa,1998,10827405.52
Africa,1999,10878040.86
Africa,2000,10912822.4
Africa,2001,10961684.45
Africa,2002,10993358.9
Africa,2003,11074314.65
Africa,2004,11110208.38
Africa,2005,11194942.9
Africa,2006,11217963.92
Africa,2007,11256074.54
Africa,2008,11316440.16
Africa,2009,11359418.78
Africa,2010,11394946.8
Africa,2011,11025208.48
Africa,2012,11109208.74
Africa,2013,11150926.95
Africa,2014,11165393.1
Africa,2015,11177978.77
Africa,2016,11194568.28
Africa,2017,11204645.1
Africa,2018,11218107.28
Asia,1961,10756557.4
Asia,1962,10808689.5
Asia,1963,10853668.7
Asia,1964,10899900.2
Asia,1965,10953143.4
Asia,1966,10994611.3
Asia,1967,11040646.8
Asia,1968,11084553.0
Asia,1969,11121809.4
Asia,1970,11176310.1
Asia,1971,11213547.8
Asia,1972,11297210.3
Asia,1973,11388550.9
Asia,1974,11457704.7
Asia,1975,11504244.4
Asia,1976,11414248.53
Asia,1977,11487205.07
Asia,1978,11560629.1
Asia,1979,11619611.1
Asia,1980,11653746.4
Asia,1981,11711462.9
Asia,1982,11829464.9
Asia,1983,11916196.4
Asia,1984,12106830.2
Asia,1985,12320297.5
Asia,1986,12447219.0
Asia,1987,12618634.0
Asia,1988,12735554.0
Asia,1989,12868637.0
Asia,1990,12980608.0
Asia,1991,13035873.0
Asia,1992,16115744.0
Asia,1993,16202113.0
Asia,1994,16308861.0
Asia,1995,16336867.0
Asia,1996,16393213.0
Asia,1997,16573860.5
Asia,1998,16670849.0
Asia,1999,16766930.5
Asia,2000,16778594.0
Asia,2001,16796018.44
Asia,2002,16801762.89
Asia,2003,16666475.06
Asia,2004,16693726.78
Asia,2005,16517740.92
Asia,2006,16518568.67
Asia,2007,16526523.11
Asia,2008,16507284.16
Asia,2009,16527323.16
Asia,2010,16593626.7
Asia,2011,16600273.6
Asia,2012,16610951.23
Asia,2013,16626977.6
Asia,2014,16634682.4
Asia,2015,16657829.3
Asia,2016,16687882.3
Asia,2017,16706870.25
Asia,2018,16696064.47
Central America,1961,1117220.0
Central America,1962,1116320.0
Central America,1963,1116440.0
Central America,1964,1116900.0
Central America,1965,1117490.0
Central America,1966,1118490.0
Central America,1967,1117990.0
Central America,1968,1118340.0
Central America,1969,1118620.0
Central America,1970,1118720.0
Central America,1971,1113160.0
Central America,1972,1116340.0
Central America,1973,1121360.0
Central America,1974,1123670.0
Central America,1975,1125250.0
Central America,1976,1126980.0
Central America,1977,1131000.0
Central America,1978,1138480.0
Central America,1979,1138000.0
Central America,1980,1141090.0
Central America,1981,1143160.0
Central America,1982,1145480.0
Central America,1983,1172960.0
Central America,1984,1181340.0
Central America,1985,1184970.0
Central America,1986,1184900.0
Central America,1987,1195920.0
Central America,1988,1206160.0
Central America,1989,1217040.0
Central America,1990,1225827.2
Central America,1991,1236662.38
Central America,1992,1237451.2
Central America,1993,1241726.2
Central America,1994,1241861.2
Central America,1995,1244416.2
Central America,1996,1246180.0
Central America,1997,1246606.2
Central America,1998,1246641.2
Central America,1999,1247970.0
Central America,2000,1244881.2
Central America,2001,1247810.2
Central America,2002,1250039.2
Central America,2003,1257308.2
Central America,2004,1253697.2
Central America,2005,1251956.2
Central America,2006,1248465.2
Central America,2007,1250724.2
Central America,2008,1218583.2
Central America,2009,1213547.6
Central America,2010,1207775.9
Central America,2011,1210111.4
Central America,2012,1200532.8
Central America,2013,1193683.2
Central America,2014,1192599.2
Central America,2015,1211761.2
Central America,2016,1229096.2
Central America,2017,1249201.2
Central America,2018,1248606.2
Europe,1961,7818239.0
Europe,1962,7829350.0
Europe,1963,7814127.0
Europe,1964,7798963.0
Europe,1965,7820743.0
Europe,1966,7806141.0
Europe,1967,7818680.0
Europe,1968,7815107.0
Europe,1969,7835965.0
Europe,1970,7808394.0
Europe,1971,7785145.0
Europe,1972,7794955.0
Europe,1973,7809672.0
Europe,1974,7818128.0
Europe,1975,7784891.0
Europe,1976,7798675.0
Europe,1977,7809295.0
